Response	Gene_ENSEMBL_ID	quantitative_sorting_score	visualization_score	baseline_score	Percent_appearing_in_restart_set
Doxorubicin	ENSG00000103091	12466.73	0.79020103	0.00313064	0.0
Doxorubicin	ENSG00000125731	12465.69	0.79013103	0.0413648	0.0
Doxorubicin	ENSG00000165959	12462.12	0.78989076	0.06443545	0.0
Doxorubicin	ENSG00000231924	12462.02	0.78988403	0.02158822	0.0
Doxorubicin	ENSG00000024526	12461.4	0.7898423	0.04934228	0.0
Doxorubicin	ENSG00000166006	12458.4	0.78964039	0.04139805	0.0
Doxorubicin	ENSG00000152700	12456.43	0.7895078	0.03599558	0.0
Doxorubicin	ENSG00000171100	12451.78	0.78919483	-0.08710157	0.01
Doxorubicin	ENSG00000088448	12451.09	0.78914839	0.04078908	0.0
Doxorubicin	ENSG00000169564	12449.83	0.78906359	-0.03545539	0.0
Doxorubicin	ENSG00000196639	12445.78	0.78879101	-0.03083	0.0
Doxorubicin	ENSG00000111962	12443.68	0.78864967	-0.0244518	0.0
Doxorubicin	ENSG00000077254	12442.35	0.78856015	-0.06765511	0.0
Doxorubicin	ENSG00000176681	12441.93	0.78853188	-0.0664944	0.0
Doxorubicin	ENSG00000085265	12437.28	0.78821892	-0.0503334	0.0
Doxorubicin	ENSG00000132906	12436.67	0.78817786	-0.01559321	0.0
Doxorubicin	ENSG00000243156	12436.26	0.78815027	0.06268751	0.0
Doxorubicin	ENSG00000136709	12435.91	0.78812671	-0.06396214	0.0
Doxorubicin	ENSG00000134815	12435.38	0.78809104	0.00361177	0.0
Doxorubicin	ENSG00000147548	12432.95	0.78792749	-0.01088265	0.0
Doxorubicin	ENSG00000006712	12430.93	0.78779154	0.04611323	0.0
Doxorubicin	ENSG00000009780	12430.01	0.78772962	-0.01227751	0.0
Doxorubicin	ENSG00000041988	12429.01	0.78766231	-0.0351724	0.0
Doxorubicin	ENSG00000137270	12428.86	0.78765222	-0.02594379	0.0
Doxorubicin	ENSG00000091622	12428.83	0.7876502	0.0102026	0.0
Doxorubicin	ENSG00000108439	12427.01	0.7875277	0.04746603	0.0
Doxorubicin	ENSG00000110429	12425.75	0.7874429	-0.04702206	0.0
Doxorubicin	ENSG00000160868	12423.71	0.7873056	0.06887539	0.0
Doxorubicin	ENSG00000142227	12422.52	0.78722551	-0.11956798	0.1
Doxorubicin	ENSG00000070081	12418.83	0.78697715	0.01608107	0.0
Doxorubicin	ENSG00000161011	12418.4	0.78694821	0.04669832	0.0
Doxorubicin	ENSG00000171150	12416.81	0.7868412	-0.01854313	0.0
Doxorubicin	ENSG00000161980	12416.19	0.78679947	0.02968995	0.0
Doxorubicin	ENSG00000130402	12413.23	0.78660025	0.07381707	0.0
Doxorubicin	ENSG00000111696	12412.07	0.78652218	0.04794389	0.0
Doxorubicin	ENSG00000144481	12411.86	0.78650804	0.04729892	0.0
Doxorubicin	ENSG00000135048	12410.92	0.78644478	0.01177764	0.0
Doxorubicin	ENSG00000115944	12410.92	0.78644478	-0.04186614	0.0
Doxorubicin	ENSG00000109452	12410.92	0.78644478	-0.00847051	0.0
Doxorubicin	ENSG00000143033	12410.35	0.78640641	-0.15588907	0.63
Doxorubicin	ENSG00000197410	12409.41	0.78634315	-0.02818729	0.0
Doxorubicin	ENSG00000100416	12408.5	0.7862819	-0.02167095	0.0
Doxorubicin	ENSG00000009830	12408.41	0.78627584	0.08136655	0.0
